samplename,group,Cyclobutane,alpha-Pinene,2-Thiophenecarboxaldehyde,ethane,Pentane,Propanoic acid,Acetic acid,n-Butylamine,Alanine,"1,2-Butanediol",Ethanedioic acid,Butanoic acid,"3,8-Dioxa-2,9-disiladecane",valine,3-Aminophenylacetylene,Urea,Isoleucine,Glycine,Butanedioic acid,Chlorphentermine,"2,3-Dihydroxybutanoic acid",Serine,threonine,Cadaverine ,Aminomalonic acid,Malic acid,Aspartic acid,Proline,Pentanoic acid,Creatinine,"2,3,4-Trihydroxybutyric acid ",Pentanedioic acid,Glutamine,phenylalanine,Asparagine,Arabinose,Lysine,Phosphoric acid,Fructose,Glucose,Ribitol,Tyrosine,sucrose,Gluconic acid,mannose,Palmitelaidic acid,Cholesterol ,Hexadecanoic acid,Inositol,Uric acid,Oleic acid,Octadecanoic acid,Tranexamic acid,Tryptamine,"1,2-Benzenedicarboxylic acid",2-Monostearin
M12,model,0.323813882,0,0,0.08893453,0.02024837,0.141423566,0.047811389,0.116464699,0.477306114,0.029250173,0,0.603528451,0.016155008,0.332985832,0,7.635407483,0.279398981,0.787298196,0.025748115,0,0.011737075,0.654159624,0.597012876,0.066429602,0.104629635,0.049510054,0.144423043,0.150285825,0,0.352500828,0.090584902,0.07167581,0.526227952,0.212782386,0.114983912,0.262795582,0.025933704,0.037402081,0.149080755,0.546025404,0.19247758,0.348224965,0,0.120181547,0.210099618,0.162728197,0,0,0.927258944,0.256162084,0,0.71044637,0,0,0.032374594,0
M16,model,0,0,0,0.100262705,0.019950733,0.20447862,0.05362844,0.025413071,0.7769508,0,0.04413962,0.19043628,0.028163094,0.218723206,0,4.537265634,0.146063136,0.586065467,0.020950819,0,0,0.619583349,0.512175213,0.048312644,0.107994733,0.031911489,0.057957005,0.113611326,0,0.17006606,0.041635119,0.034247594,0.273351304,0.099564701,0.062586795,0.214450773,0,0.021786795,0.209319654,0,0.179115254,0.336071358,0.666624247,0.104769948,0.248405283,0,0.98588396,0.98588396,0.620590719,0.231956137,0,0.783010876,0,0,0.021432008,0.065424657
M19,model,0,0,0,0.086191915,0.01724278,0.125139116,0.038270488,0.127438172,0.547804932,0.022406337,0,0.651796226,0.018024325,0.264463202,0,5.713136359,0.207638333,0.646594865,0.021408159,0.012896962,0,0.664495322,0.532189052,0,0,0.049060095,0.101399729,0.124025918,0.015891767,0,0,0.028672637,0.362000787,0.174152292,0.117195512,0,0.028522494,0,0.086184944,0,0,0.323492751,0.36447894,0,0,0,0.701350718,0.701350718,0.560849355,0.184653679,0,0.655791085,0,0,0,0.089633393
M23,model,0,0,0,0.074545853,0.017359866,0.057414017,0.032208868,0.083251326,0.232663347,0.019661608,0,1.432564967,0.036925238,0.211570911,0,4.362879977,0.182060861,0.498429053,0.0146015,0,0,0.414368335,0.319252143,0,0.041501348,0.01731076,0.07071225,0.08389534,0.012432117,0,0,0.014409312,0.262918725,0.135739006,0.064668061,0.151065515,0,0.025820659,0.064611335,0,0,0.267420612,0.552827324,0,0.084840477,0,0.599989332,0.599989332,0.498010528,0.152598787,0.084362123,0.568405569,0.050669653,0,0.029683894,0
M24,model,0.342392305,0,0,0.077707385,0.047297391,0.160894041,0.04064943,0.127808535,0.5264002,0,0.02689871,0.097039278,0.025600036,0.175632807,0,2.789826106,0.14939125,0.477759263,0.020397523,0,0,0.517379538,0.475066671,0.070926835,0,0.259819668,0,0.076268596,0,0.110129659,0.019966465,0.018901992,0.258686295,0.100122398,0.084310765,0.25960631,0.029809871,0,0.100269172,0.303991672,0,0.286486493,0,0,0.160026425,0.067122872,0.603449274,0.603449274,0.568198056,0.19908508,0.071767529,0.541584498,0,0,0.030634063,0.018836856
M48,model,0,0,0,0.195269617,0,0.058789722,0.039889542,0,0.377055479,0.025681755,0.02053928,0.551051758,0.068885805,0.278997822,0,7.898384231,0.211117045,0.38701391,0.025516192,0.012839658,0.015490832,0.502699,0.448428792,0,0,0.03723051,0.082049544,0.118563608,0.010042973,0.298259747,0,0.03230454,0.27242652,0.181452027,0.072358832,0.199046943,0.106841974,0,0,0.378490267,0,0.241347579,0.31786716,0,0.06506702,0,0.645909256,0.645909256,0.57802875,0.188106516,0,0.682231744,0,0,0,0
A11,NM,0,0,0,0.072340879,0.023616698,0.068725632,0.028550367,0.082212585,0.295955292,0.001519008,0,0.896236717,0.027042782,0.203805484,0,4.486722705,0.158541658,0.442478944,0,0,0,0.476133998,0.381750868,0.061941334,0,0.029683659,0,0,0.014025879,0,0,0.017961996,0.256934822,0.129387518,0.069911339,0,0,0.028926003,0,0,0,0,0,0,0.110819398,0,0,0.675384473,0.610058718,0.154685843,0.203713087,0.89320038,0,0,0,0.086086879
A15,NM,0,0,0,0.080049762,0.044623742,0.088054509,0.03156505,0.039187131,0.36928444,0,0.038734715,0.966248338,0.017610673,0.321506746,0,6.197891674,0.259428218,0.423990154,0.020770723,0,0,0.51457621,0.489546224,0.052054871,0,0.036189447,0.136185903,0,0,0,0,0.02622601,0.361892188,0.196710133,0.086350042,0,0.106807466,0,0,0,0,0,0,0,0.107663511,0,0,0.727416279,0.7424733,0.224698545,0,0.621652,0,0,0,0.084098254
A27,NM,0,0,0,0.080052276,0.013556993,0.068047941,0.032689341,0.060373582,0.297674041,0.024689532,0,1.789409983,0.039174104,0.243564644,0,5.668714778,0.185152684,0.562533469,0.015654724,0,0.0207376,0.547419036,0.444811934,0.062723448,0.083863955,0.025255323,0,0,0,0,0,0.025957861,0.268076948,0.141082494,0.069276425,0,0,0.054642675,0,0,0,0,0,0,0.211260041,0,0,0.796897552,0.726000255,0.177150644,0.128854711,0.902339347,0.145695525,0,0,0.112367398
A30,NM,0,0,0,0.118700536,0.014869666,0.290017513,0.047025559,0.04202568,0.893411349,0.053582996,0,1.043356926,0.051641829,0.665529386,0,15.75589646,0.550606435,1.079474676,0.046187575,0,0.049256797,1.35111434,1.415773652,0.064629534,0.164009839,0.104904275,0,0,0,0,0,0.09565667,0.912383004,0.362844368,0.188823561,0,0.087883946,0.086746782,0,0,0,0,0,0,0.317156711,0,0,1.046664371,1.756985275,0.38296755,0,0.881785719,0.116759369,0,0,0.116901602
