name,group,6-keto-PGF1a,8-iso-PGF3a,TXB2,8-iso-PGF2a,PGF2a,"8-iso-13,14-dihydro-15-keto-PGF2a",8-iso-PGE2,PGE2,11-dehydro-TXB2,15-keto-PGF2a,PGE1,PGD2,"11-beta-13,14-dihydro-15-keto-PGF2a","13,14-dihydro-15-keto-PGF2a",1a1b-dihomo-PGF2a,"13,14-dihydro-15-keto-PGD2",PGA2,PGJ2,PGB2,"17,18-DiHETE",6-trans-LTB4,LTB4,"14,15-DiHETE","12,13-DiHOME","9,10-DiHOME",12-keto-LTB4,"14,15-DHET",12-HHT,"11,12-DHET","8,9-DHET",20-carboxy-AA,"5,6-DHET",13-HOTrE,19-HETE,"15-deoxy-delta-12,14-PGJ2",15-HEPE,18-HETE,12-HEPE,16-HETE,5-HEPE,Lyso-PAF,13-HODE,9-HODE,20-HDoHE,15-HETE,9-HpODE,13-KODE,13-HpODE,16-HDoHE,17-HDoHE,9-KODE,11-HETE,13-HDoHE,10-HDoHE,8-HETE,14-HDoHE,15-HpETE,12-HETE,11-HDoHE,9-HETE,,5-HETE,15-HETrE,12-HpETE,12-KETE,5-KETE,15-HEDE,AEA,15-KEDE,OEA,EPA,DHA,AA
M16,model,0.07774045,0,55.8855821,0,1.816089123,0,0.690724692,6.9113096,0,0,0.690191174,16.11211363,0,0,0.5750402,0.174870466,9.831541219,6.384707288,0.6130227,1.809677419,0.518160096,0.565113501,0.462126643,188.1156511,172.6878136,0,2.697371565,7.355316607,1.962007168,0.387455197,2.632855436,0.656152927,0.705017921,12.0265233,4.586499403,0.183026329,0.078186005,20.3328161,0,0.136349985,42.99914906,5.32478226,1.74179097,0,4.29347282,0.83441786,1.214085494,0.616778456,0.151619864,0.130675167,0.115908097,14.54192466,0.172240166,0.318302986,1.974711217,2.129405791,0.213861582,270.1040888,0,2.872950056,,0.617172941,1.521338054,0.222279165,3.464871413,0,0,0.025118072,0.006198613,0.490588564,152.1898308,616.5804855,0.067770418
M12,model,0.122542653,0,60.66503211,0.082246892,1.893296833,0,0.834007863,4.806883507,0,0,0.768568902,10.61018909,0,0.265372058,0.873928717,0.339477622,5.291915779,6.214192878,0.972446062,0,1.322675678,1.281431418,0,139.8806862,109.2046616,1.323195564,2.851312711,7.580972186,1.369032146,0.32224244,1.069491379,0.813447708,1.069578026,10.5171129,3.308898709,0.103013327,0,16.17495968,0.112452254,0,32.93294287,8.24615907,2.828350734,0.146829641,5.637280367,1.730056871,1.946524064,1.234615058,0.343752129,0.475304184,0.312795498,23.13908683,0.698690611,1.753981987,7.629719456,15.50027932,0.297576063,649.7084327,0,7.460311267,,1.061949972,3.027398448,0.193089695,14.1196948,0.00466666,0.008186236,0.039140388,0.005524118,0.661601056,43.56135151,1178.200637,0.066681308
M19,model,0.083183034,0,71.21492035,0.079276605,2.89529118,0,7.701922747,9.618955831,0.028501657,0,1.042335944,20.74784358,0,0,1.317077631,0.323417355,12.8194397,17.35975401,1.609668603,0.333959686,1.20737957,1.12017424,0,104.2615306,74.11684318,0.995302357,2.458062863,11.86949095,1.116245302,0.36513495,1.493252477,0.584984626,1.692090878,12.04885548,6.583361804,0,0.072819161,20.89504138,0.367098806,0.051900681,36.84447374,10.70860617,3.543616788,0.136746503,6.202519593,0.958807588,1.442715887,0.816890061,0.38671398,0.490667988,0.207412613,31.45088597,0.812484159,1.125682619,6.289557363,11.72351898,0.159865435,593.2391184,0,7.05009254,,0.68854108,5.046994448,0.31121751,14.65043856,0.004150366,0.012963013,0.029776475,0.008055868,0.496517258,43.7108209,597.3639619,0.054850523
M23,model,0.189290798,0,105.1242805,0.12126236,2.844573391,0,1.416161973,9.048443823,0,0,1.219698405,17.5135501,0.081381812,0,0.952215935,0.28429488,13.23938351,10.33128382,1.636743728,0,1.023610428,1.15576324,0,95.26094442,68.5173799,1.276848664,2.454172815,13.10452533,1.52516806,0.280455812,2.520331202,0.54779472,1.094113789,11.18470241,5.564354812,0.080291637,0,11.25486316,0.056150872,0,27.07552741,11.08933301,3.975022071,0.132317574,7.240205181,1.191954093,1.843678651,0.870650553,0.20650758,0.484035919,0.299437377,42.4601868,0.817840415,1.225769796,6.069967573,12.83682548,0.212563399,645.0813032,0,6.77305114,,0.715670981,4.033306632,0.179729331,12.443189,0.00419284,0.022889702,0.041537405,0.011230823,0.40026954,26.03653547,820.4296622,0.057275676
M24,model,0.096126827,0,53.49103413,0.068256051,2.346458781,0,0.766656563,5.981456502,0,0,1.003540655,12.77176876,0.108600971,0,0.939088203,0.246561178,8.936588989,5.68220221,0.73233683,0.87624176,0.801318355,0.895274348,0,58.30229319,59.38817194,0.653142698,1.844954043,7.563178906,0.844396992,0,1.836783957,0.576455297,0.608578591,11.54971683,3.868814409,0,0.077829558,21.00559609,0,0.17565606,18.5952481,4.371729249,1.701611979,0.066580083,5.254860766,0.433209825,1.027445663,0.265957447,0.227737265,0.1997905,0.158347099,20.85224877,0.335602917,0.769093375,5.3181983,6.080644078,0.153821361,542.2331493,0,7.981867529,,0.951261766,3.440549749,0.223133337,8.635444938,0.003256525,0.005574474,0.013826183,0.005438357,0.160924552,47.86272058,346.3884434,0.058761834
M48,model,0.123363153,0,66.47811201,0.072955048,1.682356915,0,0.575197577,3.952336227,0.047663773,0,1.190046555,9.0651052,0,0,0.920928218,0,4.927238806,4.479477612,0.784235075,0,1.411007463,1.141697761,0,89.68339552,68.43908582,1.020335821,3.243003731,8.236287313,1.87630597,1.348787313,2.603078358,0.734794776,1.273973881,9.986100746,2.940671642,0,0.092327546,19.69755983,0.243508525,0,60.53992648,10.60636634,3.463123729,0.145373846,5.740380103,0.916158298,1.445976068,0.875,0.257181242,0.569461327,0.197508157,32.0158979,1.283235238,1.436872241,6.099369842,13.98930011,0.190662785,707.8848762,0,9.050180118,,1.129368641,5.655943879,0,28.27984579,0,0.008705104,0.034040643,0.007234405,0.257808129,67.73607369,1122.281055,0.071509241
B5,Cop L,0.11169792,0,78.98407209,0.126411707,2.846039499,0,1.352790907,9.24781516,0,0,1.220606546,16.59129313,0,0.197705443,0.935076485,0.173336891,74.34960718,55.20482604,10.12121212,4.832772166,0,0,0,434.359147,354.8703704,2.959034792,7.602132435,22.02805836,4.472502806,0,9.358024691,0,2.571829405,56.41245791,31.98877666,0.204604625,0,34.37133085,0,0,54.670657,4.123691868,1.589463474,0,5.390065853,0.15582725,0.350579407,0.119505845,0.142146348,0.403477619,0.137786139,30.07742888,0.70021801,1.256267801,6.43971307,13.09796406,0.065877844,662.7422905,3.104470312,10.84789201,,0.871466301,6.068864326,0,14.3347354,0,0.00347989,0.024544153,0,0.152836383,72.91792595,531.7265269,0.057159096
B26,Cop L,0.132896021,0,76.07516013,0.121509447,3.217867363,0,0.787711138,5.810692778,0,0,1.288740147,14.45391695,0,0.182834999,1.756308072,0.302479193,34.39046493,26.50039401,3.019306541,0,0,0,0,204.5906225,167.1922774,3.982269504,6.887312845,15.19779354,2.990543735,0,3.777383767,0,2.761623325,37.52324665,19.00433412,0,0,15.62219881,0.100524571,0,47.88784267,7.495928535,3.225236496,0.104760651,5.228155659,0.139966199,0.18592656,0.120212462,0.290244331,0.404047174,0.131597006,31.6710394,1.175595666,1.018017587,4.818978312,10.37811398,0,586.5682163,2.016400164,9.862156622,,0.461582616,4.797949979,0,12.02558426,0,0.005485506,0.03210526,0.010445763,0.199375332,33.19350309,649.6494855,0.068486683
B28,Cop L,0.206263958,0,108.0539354,0.227440884,4.154299521,0,2.434205095,16.38629478,0,0,1.220057797,25.86528239,0,0.100824146,1.069481608,0.323843162,96.3366122,55.84611537,10.51383795,0,0.784094698,0.783427809,0,186.0130043,164.0041681,1.604868289,4.144881627,19.83111037,1.814271424,0.714071357,1.927475825,0.71873958,4.018506169,37.1978993,34.25841947,0.085865187,0,22.31480331,0.060325249,0,29.53909196,5.899800737,2.292584419,0.116815221,7.147111759,0.166673809,0.285985173,0.100038567,0,0.797961469,0.081662774,44.40120332,1.502339796,2.648761514,9.747805628,23.88164715,0.035170731,670.7027201,7.642906722,12.92295371,,0.987078862,7.660099311,0,22.12488654,0,0.004971211,0.028206908,0.003958641,0.139519793,18.9753054,536.7824974,0.054297163
B47,Cop L,0.133735359,0,56.11301396,0,1.683054836,0,0.51040054,3.457764517,0,0,0.621340202,7.154083373,0,0.150201357,0.69709393,0.158981243,21.81739458,14.74811747,1.50753012,0,0,0,0,141.7398343,118.8874247,0,3.61935241,12.70783133,2.429593373,0,4.901731928,0,2.006400602,39.45481928,9.743599398,0,0,5.862679651,0,0,52.23497997,3.078752062,1.445044373,0,3.31663787,0.13298123,0.292448755,0.091612346,0,0.199996878,0.083891308,20.90871065,0.423139954,0.506422562,2.988325451,5.433066442,0,444.1500835,1.012778845,7.210296942,,0.539518393,3.112350421,0,7.397916974,0,0.005008514,0.023672611,0,0.147531092,15.39123499,482.9165347,0.060588039
